,precision,recall,f1-score,support
Backdoor_Malware,0.6312292358803987,0.5909797822706065,0.6104417670682731,643.0
BenignTraffic,0.774335017637525,0.8088030272854013,0.79119380449077,20084.0
BrowserHijacking,0.7489837398373984,0.628839590443686,0.6836734693877551,1172.0
CommandInjection,0.7266666666666667,0.6044362292051756,0.6599394550958627,1082.0
DDoS-ACK_Fragmentation,0.9995090389437323,0.9996843268269585,0.9995966752007857,57021.0
DDoS-HTTP_Flood,0.997219325686479,0.9965265717262939,0.9968728283530229,5758.0
DDoS-ICMP_Flood,0.999899694066904,0.999749272891385,0.9998244778215191,19942.0
DDoS-ICMP_Fragmentation,0.9996573904201941,0.9994806515061107,0.9995690131506244,90498.0
DDoS-PSHACK_Flood,1.0,1.0,1.0,20009.0
DDoS-RSTFINFlood,0.9997996895187541,1.0,0.9998998347273,19965.0
DDoS-SYN_Flood,0.999598695761224,0.9997491471001405,0.999673915769935,19932.0
DDoS-SlowLoris,0.9938100320170757,0.9938100320170757,0.9938100320170757,4685.0
DDoS-SynonymousIP_Flood,0.9997008823969291,0.9997507229035796,0.999725802029065,20058.0
DDoS-TCP_Flood,0.999900254351404,0.999900254351404,0.999900254351404,20051.0
DDoS-UDP_Flood,0.9998009950248756,0.9996517932646869,0.9997263885779668,20103.0
DDoS-UDP_Fragmentation,0.9995816555979711,0.999302953733554,0.9994422852362445,57385.0
DNS_Spoofing,0.7956889747707047,0.8170588564082499,0.806232333678042,35782.0
DictionaryBruteForce,0.7578413284132841,0.628779181017987,0.6873039113156243,2613.0
DoS-HTTP_Flood,0.9983981055857362,0.997356153899673,0.9978768577494692,14373.0
DoS-SYN_Flood,0.9994008089079742,0.999151357827476,0.999276067799995,20032.0
DoS-TCP_Flood,0.9997507974481659,0.9995017190692113,0.9996262427428799,20069.0
DoS-UDP_Flood,0.9998003992015968,0.9995011473610695,0.999650750885596,20046.0
MITM-ArpSpoofing,0.8783485003845168,0.8911555779515272,0.8847056925001009,61519.0
Mirai-greeth_flood,0.9997278033732219,0.9997933186471949,0.9997605599368886,198373.0
Mirai-greip_flood,0.9998137059214903,0.9995742869306088,0.9996939820912998,150336.0
Mirai-udpplain,0.9998596475469198,0.9999045560452516,0.999882101291833,178115.0
Recon-HostDiscovery,0.8706427116132617,0.8744976931090936,0.8725659445712907,26876.0
Recon-OSScan,0.7502352326189231,0.7303073478526358,0.7401371770408952,19652.0
Recon-PingSweep,0.797153024911032,0.49557522123893805,0.6111869031377899,452.0
Recon-PortScan,0.7460297533111544,0.7221850884122258,0.7339137952328023,16457.0
SqlInjection,0.7932489451476793,0.5376549094375596,0.6409090909090909,1049.0
Uploading_Attack,0.8881118881118881,0.508,0.6463104325699746,250.0
VulnerabilityScan,0.9975906839780485,0.9969234884965222,0.9972569746437412,7476.0
XSS,0.77079107505071,0.494148244473342,0.6022187004754358,769.0
accuracy,0.9704622570875053,0.9704622570875053,0.9704622570875053,0.9704622570875053
macro avg,0.9091801676501129,0.8621097795207243,0.8809352212308929,1152627.0
weighted avg,0.9703398895631694,0.9704622570875053,0.9702903884067435,1152627.0
