,Backdoor_Malware,BenignTraffic,BrowserHijacking,CommandInjection,DDoS-ACK_Fragmentation,DDoS-HTTP_Flood,DDoS-ICMP_Flood,DDoS-ICMP_Fragmentation,DDoS-PSHACK_Flood,DDoS-RSTFINFlood,DDoS-SYN_Flood,DDoS-SlowLoris,DDoS-SynonymousIP_Flood,DDoS-TCP_Flood,DDoS-UDP_Flood,DDoS-UDP_Fragmentation,DNS_Spoofing,DictionaryBruteForce,DoS-HTTP_Flood,DoS-SYN_Flood,DoS-TCP_Flood,DoS-UDP_Flood,MITM-ArpSpoofing,Mirai-greeth_flood,Mirai-greip_flood,Mirai-udpplain,Recon-HostDiscovery,Recon-OSScan,Recon-PingSweep,Recon-PortScan,SqlInjection,Uploading_Attack,VulnerabilityScan,XSS
Backdoor_Malware,1,1,0,6,0,0,0,0,0,36,0,1,0,24,0,10,0,0,559,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0
BenignTraffic,18,93,353,147,4,2,45,0,0,1574,0,50,1,57,0,17,75,0,16960,0,0,316,34,3,0,0,2,16,21,56,12,41,185,2
BrowserHijacking,1,6,11,37,0,1,3,0,0,61,0,3,0,7,0,2,3,0,947,0,0,31,1,6,0,29,0,0,2,10,0,3,8,0
CommandInjection,0,3,3,40,0,0,3,0,0,19,0,0,1,29,0,0,2,0,927,0,0,49,2,0,0,0,0,0,0,4,0,0,0,0
DDoS-ACK_Fragmentation,0,0,0,1,0,0,1,64,0,13,4,1,1,0,0,0,1,0,56891,1,0,0,0,26,0,4,0,0,0,1,0,0,12,0
DDoS-HTTP_Flood,2,0,0,0,0,0,31,0,0,63,0,0,56,0,0,0,0,0,5597,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
DDoS-ICMP_Flood,0,0,0,0,0,0,16668,0,0,369,0,0,2346,480,0,0,0,0,76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-ICMP_Fragmentation,0,0,0,0,0,0,0,0,2,0,0,1,38665,12517,0,0,0,0,39133,0,0,0,0,179,0,0,0,0,0,0,0,0,1,0
DDoS-PSHACK_Flood,0,0,0,0,0,0,2705,0,13786,3289,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-RSTFINFlood,0,0,0,0,0,0,103,0,0,19232,0,0,0,0,0,0,0,0,628,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DDoS-SYN_Flood,0,0,0,0,0,0,648,0,0,2648,0,0,15686,0,0,0,0,0,944,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
DDoS-SlowLoris,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4681,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
DDoS-SynonymousIP_Flood,0,0,0,0,0,0,4146,0,0,1665,0,0,13991,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-TCP_Flood,0,0,0,0,0,0,90,0,0,926,0,0,17347,1054,1,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-UDP_Flood,0,0,0,0,0,0,3435,0,0,8463,0,0,0,107,3565,0,0,0,176,0,0,4357,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-UDP_Fragmentation,0,0,0,0,0,0,0,1,0,0,0,0,0,9252,0,0,0,0,47380,1,0,0,0,751,0,0,0,0,0,0,0,0,0,0
DNS_Spoofing,39,177,1282,271,6,37,394,20,5,1949,0,112,42,2299,0,55,239,1,26111,1,0,386,51,1516,0,6,5,15,38,215,26,131,351,2
DictionaryBruteForce,3,3,2,7,0,0,23,0,0,169,0,6,0,57,0,0,2,6,2311,1,0,14,2,0,0,0,0,0,1,1,1,2,2,0
DoS-HTTP_Flood,0,1,0,1,0,4,442,0,0,488,0,1,105,0,0,0,1,0,13315,1,0,0,0,9,0,0,1,0,1,0,0,0,3,0
DoS-SYN_Flood,0,0,1,0,0,0,2207,0,0,4208,0,0,11669,1,0,0,0,0,1941,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DoS-TCP_Flood,0,0,0,0,0,0,504,0,0,1517,0,0,16063,1099,21,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS-UDP_Flood,0,0,0,0,0,0,4971,0,0,3310,0,0,5,693,2707,0,0,0,4831,0,0,3522,0,7,0,0,0,0,0,0,0,0,0,0
MITM-ArpSpoofing,105,698,512,1404,97,11,199,75,2,4345,0,292,49,1541,1,82,158,4,42795,0,0,3386,894,1278,0,107,8,87,84,977,41,368,1906,13
Mirai-greeth_flood,0,0,0,0,0,0,0,0,2,0,0,0,2,22936,0,0,0,0,50194,0,0,0,0,125238,0,0,0,0,0,0,0,0,1,0
Mirai-greip_flood,0,0,0,0,0,0,0,0,0,0,0,1,10,18243,0,0,0,0,65616,0,0,0,0,66464,0,0,0,0,0,0,0,0,2,0
Mirai-udpplain,0,0,0,0,0,0,0,1,0,0,0,0,1,18055,0,0,0,0,159380,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0
Recon-HostDiscovery,10,18,15,78,0,22,5073,1,22,7083,0,27,230,199,0,3,5,0,13828,5,1,125,7,12,0,0,18,0,5,32,2,11,44,0
Recon-OSScan,22,67,49,83,3,32,1116,6,6,2427,0,150,1227,49,0,10,46,0,13835,4,4,218,36,42,0,15,2,13,16,59,15,30,68,2
Recon-PingSweep,0,1,1,3,0,0,4,0,0,27,0,3,20,7,0,0,1,0,380,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Recon-PortScan,9,35,32,56,1,22,1603,3,15,2725,0,114,1444,114,2,2,18,0,9937,4,4,150,20,28,0,6,7,7,7,26,9,15,41,1
SqlInjection,0,0,0,2,0,0,2,0,0,58,0,0,0,16,0,1,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uploading_Attack,0,0,0,3,0,0,1,0,0,12,0,0,0,8,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VulnerabilityScan,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,7462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XSS,1,4,1,15,0,0,2,0,0,18,0,1,0,27,0,0,0,0,696,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
